"PaymentID","OfferID","BankID","PaymentMode"
"1051","22091","18",NULL
"1052","22122","16",NULL
"1053","22123","16",NULL
"1054","22124","16",NULL
"1055","22125","16",NULL
"1056","22126","16",NULL
"1057","22127","16",NULL
"1058","22128","16",NULL
"1059","22129","16",NULL
"1060","22130","16",NULL
"1061","22131","16",NULL
"1062","22132","16",NULL
"1063","22133","16",NULL
"1064","22134","16",NULL
"1065","22147","16",NULL
"1066","22149","16",NULL
"1067","22160","16",NULL
"1068","22161","16",NULL
"1069","22162","16",NULL
"1070","22163","16",NULL
"1071","22164","16",NULL
"1072","22165","16",NULL
"1073","22166","16",NULL
"1074","22249","12",NULL
"1075","22340","12",NULL
"1076","22395","4",NULL
"1077","22408","3",NULL
"1078","22410","7",NULL
"1079","22412","6",NULL
"1080","22413","4",NULL
"1081","22415","8",NULL
"1082","22417","3",NULL
"1083","22420","3",NULL
"1084","22424","9",NULL
"1085","22425","6",NULL
"1086","22426","7",NULL
"1087","22427","4",NULL
"1088","22448","16",NULL
"1089","22449","16",NULL
"1090","22450","16",NULL
"1091","22451","16",NULL
"1092","22452","16",NULL
"1093","22453","16",NULL
"1094","22454","16",NULL
"1095","22455","16",NULL
"1096","22456","16",NULL
"1097","22457","16",NULL
"1098","22458","16",NULL
"1099","22459","16",NULL
"1100","22460","16",NULL
"1101","22461","16",NULL
"1102","22462","16",NULL
"1103","22463","16",NULL
"1104","22464","16",NULL
"1105","22465","16",NULL
"1106","22466","16",NULL
"1107","22467","16",NULL
"1108","22468","16",NULL
"1109","22469","16",NULL
"1110","22470","16",NULL
"1111","22471","16",NULL
"1112","22472","16",NULL
"1113","22473","16",NULL
"1114","22474","16",NULL
"1115","22475","16",NULL
"1116","22476","16",NULL
"1117","22477","16",NULL
"1118","22478","16",NULL
"1119","22479","16",NULL
"1120","22480","16",NULL
"1121","22482","16",NULL
"1122","22483","16",NULL
"1123","22484","16",NULL
"1124","22485","16",NULL
"1125","22486","16",NULL
"1126","22487","16",NULL
"1127","22489","16",NULL
"1128","22490","16",NULL
"1129","22491","16",NULL
"1130","22492","16",NULL
"1131","22493","16",NULL
"1132","22494","16",NULL
"1133","22495","16",NULL
"1134","22500","8",NULL
"1135","22537","9",NULL
"1136","22538","8",NULL
"1137","22541","3",NULL
"1138","22614","16",NULL
"1139","22689","17",NULL
"1140","22690","17",NULL
"1141","22713","4",NULL
"1142","22715","5",NULL
"1143","22719","6",NULL
"1144","22723","19",NULL
"1145","22724","3",NULL
"1146","22726","6",NULL
"1147","22727","6",NULL
"1148","22829","16",NULL
"1149","22830","16",NULL
"1150","22831","16",NULL
"1151","22832","16",NULL
"1152","22833","16",NULL
"1153","22834","16",NULL
"1154","22835","16",NULL
"1155","22836","16",NULL
"1156","22838","16",NULL
"1157","22839","16",NULL
"1158","22840","16",NULL
"1159","22841","16",NULL
"1160","22842","16",NULL
"1161","22843","16",NULL
"1162","22844","16",NULL
"1163","22845","16",NULL
"1164","22846","16",NULL
"1165","22847","16",NULL
"1166","22848","16",NULL
"1167","22849","16",NULL
"1168","22850","16",NULL
"1169","22851","16",NULL
"1170","22852","16",NULL
"1171","22853","16",NULL
"1172","22854","16",NULL
"1173","22855","16",NULL
"1174","22856","16",NULL
"1175","22857","16",NULL
"1176","22858","16",NULL
"1177","22860","16",NULL
"1178","22861","16",NULL
"1179","22862","16",NULL
"1180","22863","16",NULL
"1181","22864","16",NULL
"1182","22865","16",NULL
"1183","22866","16",NULL
"1184","22867","16",NULL
"1185","22868","16",NULL
"1186","22869","16",NULL
"1187","22870","16",NULL
"1188","22871","16",NULL
"1189","22872","16",NULL
"1190","22873","16",NULL
"1191","22874","16",NULL
"1192","22875","16",NULL
"1193","22876","16",NULL
"1194","22877","16",NULL
"1195","22878","16",NULL
"1196","22879","16",NULL
"1197","22880","16",NULL
"1198","22881","16",NULL
